track_id,track_name,artist_name,year,genre,tempo,popularity,acousticness,danceability,energy,loudness
4FyesJzVpA39hbYvcseO2d,Just Wanna Rock,Lil Uzi Vert,2022,rap,150.187,91,0.0652,0.486,0.545,-7.924
1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SZA,2022,rap,88.98,94,0.0521,0.644,0.735,-5.747
2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,2022,rap,97.95,96,0.417,0.715,0.62,-6.005
1bDbXMyjaUIooNwFE9wn0N,Rich Flex,"Drake, 21 Savage",2022,rap,153.15,91,0.0503,0.561,0.52,-9.342
0vjeOZ3Ft5jvAi9SBFJm1j,Superhero (Heroes & Villains) [with Future & Chris Brown],Metro Boomin,2022,rap,116.622,90,0.152,0.526,0.606,-5.3
5BmB3OaQyYXCqRyN8iR2Yi,SLUT ME OUT,NLE Choppa,2022,rap,121.108,88,0.117,0.938,0.606,-6.396
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,2022,rap,143.008,92,0.141,0.559,0.551,-7.231
3OHfY25tqY28d16oZczHc8,Kill Bill,SZA,2022,rap,88.993,92,0.0543,0.644,0.728,-5.75
5wG3HvLhF6Y5KTGlK0IW3J,Trance (with Travis Scott & Young Thug),Metro Boomin,2022,rap,119.497,90,0.18,0.571,0.549,-7.38
3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),Drake,2022,rap,165.921,88,0.000307,0.529,0.673,-4.711
2GAhgAjOhEmItWLfgisyOn,Low,SZA,2022,rap,145.044,88,0.425,0.698,0.546,-7.234
2ZL7WZcjuYKi1KUDtp4kCC,Spin Bout U,"Drake, 21 Savage",2022,rap,129.963,84,0.01,0.773,0.701,-6.386
0O6u0VJ46W86TxN9wgyqDj,I Like You (A Happier Song) (with Doja Cat),Post Malone,2022,rap,100.964,87,0.121,0.733,0.67,-6.009
